User ID,Account ID,Job ID,Submit Time,Start Time,End Time,Wait Time (s),Run Time (s)
user68,account62,1,2024-09-29 19:20:51,2024-09-29 19:20:51,2024-09-30 01:22:19,0.0,21688.0
user68,account62,2,2024-09-29 19:20:51,2024-09-29 19:20:51,2024-09-30 01:19:46,0.0,21535.0
user68,account62,3,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:19:59,3.0,21545.0
user68,account62,4,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:13:54,3.0,21180.0
user68,account62,5,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:24:08,3.0,21794.0
user68,account62,6,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:22:30,3.0,21696.0
user68,account62,7,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:18:06,3.0,21432.0
user68,account62,8,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:14:25,3.0,21211.0
user68,account62,9,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:16:26,3.0,21332.0
user68,account62,10,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:16:53,3.0,21359.0
user68,account62,11,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:18:10,3.0,21436.0
user68,account62,12,2024-09-29 19:20:51,2024-09-29 19:20:54,2024-09-30 01:15:49,3.0,21295.0
user68,account62,13,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:18:31,2.0,21457.0
user68,account62,14,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:16:46,2.0,21352.0
user68,account62,15,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:23:16,2.0,21742.0
user68,account62,16,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:15:48,2.0,21294.0
user68,account62,17,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:18:35,2.0,21461.0
user68,account62,18,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 02:38:29,2.0,26255.0
user68,account62,19,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:37:51,2.0,19017.0
user68,account62,20,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:34:19,2.0,18805.0
user68,account62,21,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 02:44:45,2.0,26631.0
user68,account62,22,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:38:09,2.0,19035.0
user68,account62,23,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:38:34,2.0,19060.0
user68,account62,24,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:42:39,2.0,19305.0
user68,account62,25,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:41:39,2.0,19245.0
user68,account62,26,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:08:35,2.0,20861.0
user68,account62,27,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:10:28,2.0,20974.0
user68,account62,28,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:17:18,2.0,21384.0
user68,account62,29,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:17:37,2.0,21403.0
user68,account62,30,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:44:59,2.0,19445.0
user68,account62,31,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:56:52,2.0,20158.0
user68,account62,32,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:07:07,2.0,20773.0
user68,account62,33,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:08:26,2.0,20852.0
user68,account62,34,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:16:06,2.0,21312.0
user68,account62,35,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:14:01,2.0,21187.0
user68,account62,36,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:49:18,2.0,19704.0
user68,account62,37,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:47:59,2.0,19625.0
user68,account62,38,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:02:27,2.0,20493.0
user68,account62,39,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:03:16,2.0,20542.0
user68,account62,40,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 00:57:49,2.0,20215.0
user68,account62,41,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:02:25,2.0,20491.0
user68,account62,42,2024-09-29 19:20:52,2024-09-29 19:20:54,2024-09-30 01:04:14,2.0,20600.0
